tensor(0.0235, device='cuda:0')
tensor(0.0199, device='cuda:0')
tensor(0.0083, device='cuda:0')
tensor(0.0027, device='cuda:0')
tensor(0.0034, device='cuda:0')
tensor(0.0341, device='cuda:0')
tensor(0.0048, device='cuda:0')
tensor(0.6334, device='cuda:0')
tensor(0.0154, device='cuda:0')
tensor(0.0051, device='cuda:0')
tensor(0.0264, device='cuda:0')
tensor(0.0020, device='cuda:0')
tensor(0.9936, device='cuda:0')
tensor(0.2147, device='cuda:0')
tensor(0.0123, device='cuda:0')
tensor(0.0163, device='cuda:0')
tensor(0.1277, device='cuda:0')
tensor(0.0070, device='cuda:0')
tensor(0.0321, device='cuda:0')
tensor(0.0169, device='cuda:0')
tensor(0.0020, device='cuda:0')
tensor(0.9888, device='cuda:0')
tensor(0.0160, device='cuda:0')
tensor(0.0136, device='cuda:0')
tensor(0.0034, device='cuda:0')
tensor(0.0099, device='cuda:0')
tensor(0.0248, device='cuda:0')
tensor(0.0074, device='cuda:0')
tensor(0.0219, device='cuda:0')
tensor(0.0143, device='cuda:0')
tensor(0.0274, device='cuda:0')
tensor(0.0128, device='cuda:0')
tensor(0.0218, device='cuda:0')
tensor(0.0188, device='cuda:0')
tensor(0.0178, device='cuda:0')
tensor(0.2018, device='cuda:0')
tensor(0.0070, device='cuda:0')
tensor(0.1441, device='cuda:0')
tensor(0.0177, device='cuda:0')
tensor(0.0173, device='cuda:0')
tensor(0.0039, device='cuda:0')
tensor(0.0033, device='cuda:0')
tensor(0.0995, device='cuda:0')
tensor(0.0092, device='cuda:0')
tensor(0.0102, device='cuda:0')
tensor(0.0152, device='cuda:0')
tensor(0.0023, device='cuda:0')
tensor(0.0048, device='cuda:0')
tensor(0.0037, device='cuda:0')
tensor(0.0072, device='cuda:0')
tensor(0.0190, device='cuda:0')
tensor(0.0087, device='cuda:0')
tensor(0.0309, device='cuda:0')
tensor(0.0225, device='cuda:0')
tensor(0.0252, device='cuda:0')
tensor(0.0172, device='cuda:0')
tensor(0.0121, device='cuda:0')
tensor(0.0244, device='cuda:0')
tensor(0.0053, device='cuda:0')
tensor(0.4036, device='cuda:0')
tensor(0.0092, device='cuda:0')
tensor(0.0211, device='cuda:0')
tensor(0.0143, device='cuda:0')
tensor(0.0098, device='cuda:0')
tensor(0.0184, device='cuda:0')
tensor(0.0041, device='cuda:0')
tensor(0.0185, device='cuda:0')
tensor(0.0680, device='cuda:0')
tensor(0.1082, device='cuda:0')
tensor(0.9830, device='cuda:0')
tensor(0.0385, device='cuda:0')
tensor(0.0230, device='cuda:0')
tensor(0.0093, device='cuda:0')
